HK01	大阪梅田	おおさかうめだ	Osaka-umeda
HK01old	梅田	うめだ	Umeda
HK02	中津	なかつ	Nakatsu
HK02-1	新淀川	しんよどがわ	Shin-yodogawa
HK03	十三	じゅうそう	Juso
HK04	神崎川	かんざきがわ	Kanzaki-gawa
HK05	園田	そのだ	Sonoda
HK06	塚口	つかぐち	Tsukaguchi
HK07	武庫之荘	むこのそう	Mukonoso
HK08	西宮北口	にしのみやきたぐち	Nishinomiya-kitaguchi
HK08-1	西宮戎	にしのみやえびす	Nishinomiya-ebisu
HK09	夙川	しゅくがわ	Shukugawa
HK10	芦屋川	あしやがわ	Ashiya-gawa
HK11	岡本	おかもと	Okamoto
HK12	御影	みかげ	Mikage
HK13	六甲	ろっこう	Ro-kko
HK14	王子公園	おうじこうえん	Oji-koen
HK14old	西灘	にしなだ	Nishinada
HK15	春日野道	かすがのみち	Kasuga-nomichi
HK16	神戸三宮	こうべさんのみや	Kobe-sannomiya
HK16old1	三宮	さんのみや	Sannomiya
HK16old2	神戸	こうべ	Kobe
HK17	花隈	はなくま	Hanakuma
HS35	高速神戸	こうそくこうべ	Kosoku-kobe
HS36	新開地	しんかいち	Shinkaichi
HS37	大開	だいかい	Daikai
HS38	高速長田	こうそくながた	Kosoku-nagata
SY01	西代	にしだい	Nishidai
SY02	板宿	いたやど	Itayado
SY03	東須磨	ひがしすま	Higashi-suma
SY04	月見山	つきみやま	Tsukimiyama
SY05	須磨寺	すまでら	Sumadera
SY06	須磨	すま	Suma
SY07	須磨浦公園	すまうらこうえん	Sumaura-koen
HK18	稲野	いなの	Inano
HK19	新伊丹	しんいたみ	Shin-itami
HK20	伊丹	いたみ	Itami
HK23	門戸厄神	もんどやくじん	Mondo-yakujin
HK24	甲東園	こうとうえん	Kotoen
HK25	仁川	にがわ	Nigawa
HK25-1	鹿塩	かしお	Kashio
HK26	小林	おばやし	Obayashi
HK27	逆瀬川	さかせがわ	Sakasegawa
HK28	宝塚南口	たからづかみなみぐち	Takarazuka-minamiguchi
HK29	苦楽園口	くらくえんぐち	Kuraku-enguchi
HK30	甲陽園	こうようえん	Koyoen
HK41	三国	みくに	Mikuni
HK42	庄内	しょうない	Shonai
HK43	服部天神	はっとりてんじん	Hattori-tenjin
HK43-1	服部	はっとり	Hattori
HK44	曽根	そね	Sone
HK45	岡町	おかまち	Okamachi
HK46	豊中	とよなか	Toyonaka
HK47	蛍池	ほたるがいけ	Hotarugaike
HK47old	蛍ヶ池	ほたるがいけ	Hotarugaike
HK48	石橋阪大前	いしばしはんだいまえ	Ishibashi handai-mae
HK48old	石橋	いしばし	Ishibashi
HK49	池田	いけだ	Ikeda
HK50	川西能勢口	かわにしのせぐち	Kawanishi-noseguchi
HK50old	能勢口	のせぐち	noseguchi
HK50-1	花屋敷	はなやしき	Hanayashiki
HK51-1	雲雀ヶ丘	ひばりがおか	Hibarigaoka
HK51	雲雀丘花屋敷	ひばりがおかはなやしき	Hibarigaoka-hanayashiki
HK52-2	平井	ひらい	Hirai
HK52	山本	やまもと	Yamamoto
HK53	中山観音	なかやまかんのん	Nakayama-kannon
HK53old	中山	なかやま	Nakayama
HK54	売布神社	めふじんじゃ	Mefu-jinja
HK55	清荒神	きよしこうじん	Kiyoshikojin
HK56	宝塚	たからづか	Takarazuka
HK57	桜井	さくらい	Sakurai
HK58	牧落	まきおち	Makiochi
HK59	箕面	みのお	Minoh
HK61	南方	みなみかた	Minamikata
HK62	崇禅寺	そうぜんじ	Sozenji
HK63	淡路	あわじ	Awaji
HK64	上新庄	かみしんじょう	Kami-shinjo
HK65	相川	あいかわ	Aikawa
HK65old1	吹田町	すいたちょう	Suita-cho
HK65old2	京阪吹田	けいはんすいた	Keihan-suita
HK65old3	吹田東口	すいたひがしぐち	Suita-higashiguchi
HK66	正雀	しょうじゃく	Shojaku
HK67	摂津市	せっつし	Settsu-shi
HK68	南茨木	みなみいばらき	MInami-ibaraki
HK69	茨木市	いばらき	Ibaraki-shi
HK70	総持寺	そうじじ	Sojiji
HK70old	総持寺前	そうじじまえ	Sojijimae
HK71	富田	とんだ	Tonda
HK71old	富田町	とんだちょう	Tonda-cho
HK72	高槻市	たかつきし	Takatsuki-shi
HK72old	高槻町	たかつきちょう	Takatsuki-cho
HK73	上牧	かんまき	Kammaki
HK73old	上牧桜井ノ駅	かんまきさくらいのえき	Kammaki-sakurainoeki
HK74	水無瀬	みなせ	Minase
HK74old	桜井ノ駅	さくらいのえき	Sakurainoeki
HK75	大山崎	おおやまざき	Oyamazaki
HK76	西山天王山	にしやまてんのうざん	Nishinomiya-tennozan
HK77	長岡天神	ながおかてんじん	Nagaoka-tenjin
HK78	西向日	にしむこう	Nishi-muko
HK78old	西向日町	にしむこうまち	Nishi-mukomachi
HK79	東向日	ひがしむこう	Higashi-muko
HK79old	東向日町	ひがしむこうまち	Higashi-mukomachi
HK79-1	物集女	もずめ	Mozume
HK80	洛西口	らくさいぐち	Rakusaiguchi
HK81	桂	かつら	Katsura
HK82	西京極	にしきょうごく	Nishikyogoku
HK83	西院	さいいん	Saiin
HK84	大宮	おおみや	Omiya
HK85	烏丸	からすま	Karasuma
HK86	京都河原町	きょうとかわらまち	Kyoto-kawaramachi
HK96old	河原町	かわらまち	Kawaramachi
HK87	柴島	くにじま	Kunijima
HK88	下新庄	しもしんじょう	Shimo-shinjo
HK89	吹田	すいた	Suita
HK90	豊津	とよつ	Toyotsu
HK91	関大前	かんだいまえ	Kandai-mae
HK92	千里山	せんりやま	Senriyama
HK93	南千里	みなみせんり	Minami-senri
HK94	山田	やまだ	Yamada
HK95	北千里	きたせんり	Kita-senri
HK96	上桂	かみかつら	Kami-katsura
HK97	松尾大社	まつおたいしゃ	Matsuo-taisha
HK97old	松尾	まつお	Matsuo
HK98	嵐山	あらしやま	Arashiyama
K11	天神橋筋六丁目	てんじんばしすじろくちょうめ	Tenjimbashisuji-rokuchome
K12	扇町	おうぎまち	Ogimachi
K13	南森町	みなみもりまち	Minami-morimachi
K14	北浜	きたはま	Kitahama
K15	堺筋本町	さかいすじほんまち	Sakaisuji-Hommachi
K16	長堀橋	ながほりばし	Nagahoribashi
K17	日本橋	にっぽんばし	Nippombashi
K18	恵比須町	えびすちょう	Ebisu-cho
K19	動物園前	どうぶつえんまえ	Dobutsuen-Mikage
K20	天下茶屋	てんがちゃや	Tengachaya
NS02	絹延橋	きぬのべばし	Kinunobebashi
NS03	滝山	たきやま	Takiyama
NS04	鶯の森	うぐいすのもり	Uguisuno-morimachi
NS05	鼓滝	つづみがたき	Tsuzumigataki
NS06	多田	ただ	Tada
NS07	平野	ひらの	Hirano
NS08	一の鳥居	いちのとりい	Ichino-torii
NS09	畦野	うねの	Uneno
NS10	山下	やました	Yamashita
NS11	笹部	ささべ	Sasabe
NS12	光風台	こうふうだい	Kofudai
NS13	ときわ台	ときわだい	Tokiwadai
NS14	妙見口	みょうけんぐち	Myokenguchi
NS12	日生中央	にっせいちゅうおう	Nissei-chuo